id,lat,lon
89,49.71,5.861
88,49.71,5.561
87,49.71,5.261
86,49.71,4.961
77,50.01,6.161
76,50.01,5.861
75,50.01,5.561
74,50.01,5.261
73,50.01,4.961
72,50.01,4.661
71,50.01,4.361
70,50.01,4.061
64,50.31,6.161
63,50.31,5.861
62,50.31,5.561
61,50.31,5.261
60,50.31,4.961
59,50.31,4.661
58,50.31,4.361
57,50.31,4.061
56,50.31,3.761
51,50.61,6.161
50,50.61,5.861
49,50.61,5.561
48,50.61,5.261
47,50.61,4.961
46,50.61,4.661
45,50.61,4.361
44,50.61,4.061
43,50.61,3.761
42,50.61,3.461
41,50.61,3.161
40,50.61,2.861
37,50.91,5.861
36,50.91,5.561
35,50.91,5.261
34,50.91,4.961
33,50.91,4.661
32,50.91,4.361
31,50.91,4.061
30,50.91,3.761
29,50.91,3.461
28,50.91,3.161
27,50.91,2.861
26,50.91,2.561
24,51.21,5.861
23,51.21,5.561
22,51.21,5.261
21,51.21,4.961
20,51.21,4.661
19,51.21,4.361
18,51.21,4.061
17,51.21,3.761
16,51.21,3.461
15,51.21,3.161
14,51.21,2.861
13,51.21,2.561
8,51.51,4.961
7,51.51,4.661
6,51.51,4.361
3,51.51,3.461
